Data Reviewer,Completed? Comments?,WORLDGRIDS_CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,RESOLUTION_SOURCE_M,RESAMPLE_METHOD,CONFIDENCE_INTERVAL,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,Z_SCALE,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,MASK_VALUE,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,LINEAGE_CODE
,complete,PSESCL5,Bioclimatic layers,PptSeas.tif,This is a measure of the variation in monthly precipitation totals over the course of the year. This index is the ratio of the standard deviation of the monthly total precipitation to the mean monthly total precipitation (also known as the coefficient of variation) and is expressed as a percentage.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,PWRMCL5,Bioclimatic layers,PptWarmQ.tif,This quarterly index approximates total precipitation that prevails during the warmest quarter.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,PWETCL5,Bioclimatic layers,PptWetst.tif,This index identifies the total precipitation that prevails during the wettest month.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,TCLDCL5,Bioclimatic layers,TColdQ.tif,Mean Temperature of Coldest Quarter,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,degrees celsius*10,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,TDRYCL5,Bioclimatic layers,TDryQ.tif,This quarterly index approximates mean temperatures that prevail during the driest quarter.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,degrees celsius*10,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,TWRMCL5,Bioclimatic layers,TWarmQ.tif,This quarterly index approximates mean temperatures that prevail during the warmest quarter.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,degrees celsius*10,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
,complete,TWETCL5,Bioclimatic layers,TWetQ.tif,This quarterly index approximates mean temperatures that prevail during the wettest season.,1000,cubicspline,M,0.00 m,0.00 m,1,0,,,1,degrees celsius*10,http://worldclim.org/bioclim,,,,1971-2000,,http://worldclim.org/bioclim,http://worldclim.org/bioclim,http://worldclim.org/bioclim,,
Amanda,complete,P01PRI5,PRISM 30yrs climatic,precipitation,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P02PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P03PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P04PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,P12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T01PRI5,PRISM 30yrs climatic,average temperature,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T02PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T03PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T04PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,T12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,TMTPRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
Amanda,complete,N01PRI5,PRISM 30yrs climatic,minimum Temp,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N02PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N03PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N04PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,N12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,TNMPRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V01PRI5,PRISM 30yrs climatic,vapor pressure deficit,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V02PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V03PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V04PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V05PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V06PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V07PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V08PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V09PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V10PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V11PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,V12PRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
,complete,VPDPRI5,PRISM 30yrs climatic,,,800,cubicspline,M,0.00 m,0.00 m,1,0,,,1,mm,,Oregon State University PRISM,,,1981-2010,,http://www.prism.oregonstate.edu/normals/,,http://www.prism.oregonstate.edu/normals/,,
Jim,complete,GESUSG6,Surface geology classes,Surficial Materials in the Conterminous United States,,1000,near,M,0.00 m,0.00 m,1,1,,,1,factor,,,,,2005,,http://pubs.usgs.gov/ds/425/,,http://pubs.usgs.gov/ds/425/,,
,complete,REDL00,Global Forest Change,Landsat Band 3 (red) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.2,,http://www.sciencemag.org/content/342/6160/850,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,NIRL00,Global Forest Change,Landsat Band 4 (NIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.3,,http://www.sciencemag.org/content/342/6160/851,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,SW1L00,Global Forest Change,Landsat Band 5 (SWIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.4,,http://www.sciencemag.org/content/342/6160/852,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,SW2L00,Global Forest Change,Landsat Band 7 (SWIR) for year 2000,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.5,,http://www.sciencemag.org/content/342/6160/853,2000,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,REDL14,Global Forest Change,Landsat Band 3 (red) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.6,,http://www.sciencemag.org/content/342/6160/854,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,NIRL14,Global Forest Change,Landsat Band 4 (NIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.7,,http://www.sciencemag.org/content/342/6160/855,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,SW1L14,Global Forest Change,Landsat Band 5 (SWIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.8,,http://www.sciencemag.org/content/342/6160/856,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
,complete,SW2L14,Global Forest Change,Landsat Band 7 (SWIR) for year 2014,,30,average,M,0.00 m,0.00 m,1,1,255,,1,,,Global Forest Change 2000–2014 v1.9,,http://www.sciencemag.org/content/342/6160/857,2014,,http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.2.html,,,,
Tom,complete,BARL10,30 Meter Global Land Cover,Global 30m Bare Ground,Global 30m Bare Ground (circa 2010),30,average,M,0.00 m,0.00 m,1,1,100,,1,percent,http://www.sciencemag.org/content/342/6160/850,30 Meter Global Land Cover,,,2014,"Hansen, M.C., Potapov, P.V., Moore, R., Hancher, M., Turubanova, S.A., Tyukavina, A., Thau, D., Stehman, S.V., Goetz, S.J., Loveland, T.R., Kommareddy, A., Egorov, A., Chini, L., Justice, C.O., and Townshend, J.R.G., 2013, High-Resolution Global Maps of 21st-Century Forest Cover Change: Science, v. 342, no. 6160, p. 850-853",https://landcover.usgs.gov/glc/,,https://landcover.usgs.gov/glc/,,
,complete,TREL10,30 Meter Global Land Cover,Global 30m Tree Cover,Global 30m Tree Cover (circa 2010),30,average,M,0.00 m,0.00 m,1,1,100,,1,percent,http://www.sciencemag.org/content/342/6160/850,30 Meter Global Land Cover,,,2014,"Hansen, M.C., Potapov, P.V., Moore, R., Hancher, M., Turubanova, S.A., Tyukavina, A., Thau, D., Stehman, S.V., Goetz, S.J., Loveland, T.R., Kommareddy, A., Egorov, A., Chini, L., Justice, C.O., and Townshend, J.R.G., 2013, High-Resolution Global Maps of 21st-Century Forest Cover Change: Science, v. 342, no. 6160, p. 850-854",https://landcover.usgs.gov/glc/,,https://landcover.usgs.gov/glc/,,
Amanda,complete,BLDFIE_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,BLDFIE_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,ORCDRC_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,CLYPPT_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl1_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl2_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl3_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl4_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl5_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl6_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,complete,SNDPPT_M_sl7_100m,SoilGrids250m,,,,,,,,,,,,,,,,,,,,,,,,
,,GK0MRD3,Aeroradiometric_grid,Potassium,,1000,cubicspline,M,0.00 m,2.00 m,1,0,,,1,,https://mrdata.usgs.gov/radiometric/,,,,2007,"Duval, J.S., Carson, J.M., Holman, P.B., and Darnley, A.G., 2005, Terrestrial radioactivity and gamma-ray exposure in the United States and Canada: U.S. Geological Survey Open-File Report 2005-1413. Available online only.",http://pubs.usgs.gov/of/2005/1413/gisdata/,,,,
,,GTHMRD3,Aeroradiometric_grid,Thorium,,1000,cubicspline,M,0.00 m,2.00 m,1,0,,,1,,https://mrdata.usgs.gov/radiometric/,,,,2007,"Duval, J.S., Carson, J.M., Holman, P.B., and Darnley, A.G., 2005, Terrestrial radioactivity and gamma-ray exposure in the United States and Canada: U.S. Geological Survey Open-File Report 2005-1413. Available online only.",http://pubs.usgs.gov/of/2005/1413/gisdata/,,,,
,,GU0MRD3,Aeroradiometric_grid,Uranium,,1000,cubicspline,M,0.00 m,2.00 m,1,0,,,1,,https://mrdata.usgs.gov/radiometric/,,,,2007,"Duval, J.S., Carson, J.M., Holman, P.B., and Darnley, A.G., 2005, Terrestrial radioactivity and gamma-ray exposure in the United States and Canada: U.S. Geological Survey Open-File Report 2005-1413. Available online only.",http://pubs.usgs.gov/of/2005/1413/gisdata/,,,,
,,GEXMRD3,Aeroradiometric_grid,Absorbed dose,,1000,cubicspline,M,0.00 m,2.00 m,1,0,,,1,,https://mrdata.usgs.gov/radiometric/,,,,2007,"Duval, J.S., Carson, J.M., Holman, P.B., and Darnley, A.G., 2005, Terrestrial radioactivity and gamma-ray exposure in the United States and Canada: U.S. Geological Survey Open-File Report 2005-1413. Available online only.",http://pubs.usgs.gov/of/2005/1413/gisdata/,,,,
,,OCCGSW7,Global Surface Water,Occurrence probability,,25,average,M,0.00 m,0.00 m,1,1,255,,1,,https://global-surface-water.appspot.com/,,,,2016,http://www.nature.com/nature/journal/vaop/ncurrent/full/nature20584.html,https://global-surface-water.appspot.com/download,,,,
,,CHAGSW7,Global Surface Water,Surface water change,,25,average,M,0.00 m,0.00 m,1,1,255,,1,,https://global-surface-water.appspot.com/,,,,2016,http://www.nature.com/nature/journal/vaop/ncurrent/full/nature20584.html,https://global-surface-water.appspot.com/download,,,,
,,EXTGSW7,Global Surface Water,Global surface water maximum extent,,25,average,M,0.00 m,0.00 m,1,1,255,,1,,https://global-surface-water.appspot.com/,,,,2016,http://www.nature.com/nature/journal/vaop/ncurrent/full/nature20584.html,https://global-surface-water.appspot.com/download,,,,